496,30,4,60,7879,1,3,4,1,1,3,1,14,3,3,1,1,4,5,1920,1950,1,1,14,14,1,0,1,1,1,2,1,2,6,495,1,0,225,720,1,5,2,3,720,0,0,720,0,0,1,0,2,1,1,4,1,0,5,7,1,4,0,0,5,5,2,0,523,115,0,0,0,1,4,1,0,11,2009,1,2,34900
917,20,4,50,9000,1,3,4,1,1,3,1,14,3,3,1,1,2,3,1949,1950,1,1,3,3,1,0,1,1,1,2,1,3,3,50,1,0,430,480,1,5,2,3,480,0,0,480,1,0,0,0,1,1,1,4,1,0,5,2,1958,2,1,308,1,1,1,0,0,0,0,0,0,1,1,1,0,10,2006,1,2,35311
969,50,2,50,5925,1,3,4,1,1,3,1,8,3,3,1,3,3,6,1910,1950,1,1,2,2,1,0,1,1,3,2,1,2,7,0,1,0,600,600,4,3,2,1,600,368,0,968,0,0,1,0,2,1,1,6,1,0,5,7,1,4,0,0,5,5,1,0,0,0,0,0,0,1,4,1,0,5,2009,1,2,37900
534,20,1,50,5000,1,3,4,2,1,3,2,9,3,3,1,1,1,3,1946,1950,1,1,2,2,1,0,4,3,4,5,4,5,5,0,6,0,0,0,1,3,2,2,334,0,0,334,0,0,1,0,1,1,4,2,1,0,5,7,1,4,0,0,5,5,2,0,0,0,0,0,0,1,1,1,0,1,2007,4,1,39300
31,70,4,50,8500,1,1,4,1,1,3,1,14,2,3,1,2,4,4,1920,1950,4,1,6,6,1,0,1,3,3,2,1,2,7,0,1,0,649,649,1,5,2,1,649,668,0,1317,0,0,1,0,3,1,1,6,1,0,5,2,1920,2,1,250,1,3,2,0,54,172,0,0,0,1,2,1,0,7,2008,1,1,40000
711,30,1,56,4130,1,3,1,1,1,3,1,9,3,3,1,1,3,6,1935,2003,1,1,2,2,1,0,2,1,1,2,1,2,7,0,1,0,270,270,1,2,1,1,729,0,0,729,0,0,1,0,2,1,1,5,4,0,5,7,1,4,0,0,5,5,2,0,0,0,0,0,0,1,1,1,0,7,2008,4,1,52000
1338,30,2,153,4118,1,2,1,3,1,1,2,8,2,3,1,1,4,4,1941,1950,1,1,14,14,1,0,1,1,1,2,1,2,7,0,1,0,693,693,4,3,2,3,693,0,0,693,0,0,1,0,2,1,4,4,1,0,5,7,1,4,0,0,5,5,2,0,20,0,0,0,0,1,1,1,0,3,2006,6,1,52500
1326,30,2,40,3636,1,3,4,1,1,3,1,14,3,3,1,1,4,4,1922,1950,1,1,3,3,1,0,1,1,3,2,3,2,7,0,1,0,796,796,1,3,2,1,796,0,0,796,0,0,1,0,2,1,1,5,1,0,5,7,1,4,0,0,5,5,2,0,0,100,0,0,0,1,2,1,0,1,2008,4,1,55000
813,20,4,66,8712,2,3,4,3,1,3,2,14,3,3,1,1,5,5,1952,1952,2,1,14,14,1,0,4,1,1,2,1,3,7,0,1,0,540,540,1,5,2,3,1044,0,0,1044,0,0,1,0,2,1,4,4,1,0,5,4,1952,2,2,504,1,1,2,0,0,0,0,0,0,1,1,2,54,6,2010,1,4,55993
1381,30,1,45,8212,1,2,4,1,1,3,1,20,3,3,1,1,3,3,1914,1950,1,1,13,13,1,0,1,3,3,2,3,2,6,203,1,0,661,864,1,5,2,2,864,0,0,864,1,0,1,0,2,1,1,5,1,0,5,2,1938,2,1,200,1,3,1,0,0,96,0,0,0,1,1,1,0,6,2010,1,1,58500
